Item,Reference,Quantity,Part Name,Specification / Notes,Supplier,Link,,
1,U1,1,Raspberry Pi Pico (RP2040),Microcontroller board,Robu.in,https://robu.in/product/raspberry-pi-pico/,,
2,SW1-SW6,6,Mechanical Key Switch,Cherry MX compatible (MX style),Mckeys,https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/cherry-mx-rgb-switch/,,
3,D1-D7,7,Signal Diode,1N4148 DO-35 through-hole,Element14 india,https://in.element14.com/multicomp-pro/1n4148-do-35/small-signal-sw-diode-100v-do/dp/2675146,,
4,SW7,1,Rotary Encoder with Push Button,EC11 / EC12 style encoder, Flyrobo.in, https://www.flyrobo.in/ec11-rotary-encoder-with-switch-digital-potentiometer-20mm,,
5,DS1,1,IPS TFT Display,1.14 inch 135x240 SPI IPS TFT,zbotic.in, https://zbotic.in/product/1-14-inch-135240-rgb-tft-ips-lcd-module-8pin-st7789-chip/,,
6,J1,1,Pin Header,1x7 2.54mm Through-Hole,Amazon.in, https://www.amazon.in/7%C3%971-7Pin-Square-Straight-Header-Connector/dp/B0FFHLJHGR,,
7, U2,1, Bluetooth Module, MDBT50Q-1MV2, Mouser Electronics, https://www.mouser.in/ProductDetail/Seeed-Studio/113990584?qs=0lSvoLzn4L92aqwOsif%2FOw%3D%3D, ,
8, BT1,1, Li-Po Battery," 3.7 V Li-Po, 500–1000 mAh", Robu.in, https://robu.in/product/1500mah-pcm-protected-micro-li-po-battery/,,
9,U3,1, Battery Charging IC,MCP73831-2-OT (Li-Po charger),Robu.in, https://robu.in/product/mcp73831t-2aci-ot-4-2v-500ma-single-cell-li-ion-li-polymer-battery-charge-management-controller-5-pin-sot-23-microchip-technology/,,
10,J2,1,Battery Connector,"JST-PH 2-pin, 2.0 mm",Sunrom electronics,https://www.sunrom.com/p/2-pin-jst-ph-20mm-both-side-female-30cm,,
11,J3,1,External connector,"1×8 SWD Header, 2.54 mm",Amazon.in,https://www.amazon.in/8%C3%971-8Pin-Right-Angle-Header-Connector/dp/B0FFHNVV9Y,,
12,U4,1,MPU,MPU-6050,Quartz components,https://quartzcomponents.com/products/mpu-6050-3-axis-gyro-accelerometer-ic-tdk-invensense-qfn-24-smd-package?variant=45045443920106&country=IN&currency=INR&gad_campaignid=21214248935,, 
13,PCB,1,Custom PCB,2-layer PCB (KiCad),JLCPCB, https://jlcpcb.com/,,
14,CASE,1,3D Printed Enclosure,Fusion 360 designed case,Local / Online 3D Print Service,N/A,,
15,H1,1,Header, 2 pin JST PH 2.0mm SMT Header Horizontal Right Angle Side Entry,Sunrom electronics,https://www.sunrom.com/p/2-pin-jst-ph-20mm-smt-header-horizontal-right-angle-side-entry,,
16,U5,1,Battery charger IC, AP2112K-3.3,,,,
